Timer(CalcCollatzSoloTimer): <t> = 30.1976us, std = 58.7154us, 0.020383ms <= t <= 2.87694ms (n=2998)
Timer(TeamSolo<1>[SameNumber | 2]): <t> = 95.5995ms, std = 0ms, 95.5995ms <= t <= 95.5995ms (n=1)
Timer(TeamNewThreads<1>[SameNumber | 2]): <t> = 129.079ms, std = 0ms, 129.079ms <= t <= 129.079ms (n=1)
Timer(TeamConstThreads<1>[SameNumber | 2]): <t> = 80.8424ms, std = 0ms, 80.8424ms <= t <= 80.8424ms (n=1)
Timer(TeamPool<1>[SameNumber | 2]): <t> = 119.793ms, std = 0ms, 119.793ms <= t <= 119.793ms (n=1)
Timer(TeamNewProcesses<1>[SameNumber | 2]): <t> = 14.2154s, std = 0s, 14.2154s <= t <= 14.2154s (n=1)
Timer(TeamConstProcesses<1>[SameNumber | 2]): <t> = 80.8987ms, std = 0ms, 80.8987ms <= t <= 80.8987ms (n=1)
Timer(TeamNewThreads<2>[SameNumber | 2]): <t> = 146.598ms, std = 0ms, 146.598ms <= t <= 146.598ms (n=1)
Timer(TeamConstThreads<2>[SameNumber | 2]): <t> = 51.0505ms, std = 0ms, 51.0505ms <= t <= 51.0505ms (n=1)
Timer(TeamPool<2>[SameNumber | 2]): <t> = 78.6183ms, std = 0ms, 78.6183ms <= t <= 78.6183ms (n=1)
Timer(TeamNewProcesses<2>[SameNumber | 2]): <t> = 7.36578s, std = 0s, 7.36578s <= t <= 7.36578s (n=1)
Timer(TeamConstProcesses<2>[SameNumber | 2]): <t> = 50.872ms, std = 0ms, 50.872ms <= t <= 50.872ms (n=1)
Timer(TeamNewThreads<3>[SameNumber | 2]): <t> = 148.553ms, std = 0ms, 148.553ms <= t <= 148.553ms (n=1)
Timer(TeamConstThreads<3>[SameNumber | 2]): <t> = 38.7046ms, std = 0ms, 38.7046ms <= t <= 38.7046ms (n=1)
Timer(TeamPool<3>[SameNumber | 2]): <t> = 57.9552ms, std = 0ms, 57.9552ms <= t <= 57.9552ms (n=1)
Timer(TeamNewProcesses<3>[SameNumber | 2]): <t> = 5.35655s, std = 0s, 5.35655s <= t <= 5.35655s (n=1)
Timer(TeamConstProcesses<3>[SameNumber | 2]): <t> = 43.3474ms, std = 0ms, 43.3474ms <= t <= 43.3474ms (n=1)
Timer(TeamNewThreads<4>[SameNumber | 2]): <t> = 149.291ms, std = 0ms, 149.291ms <= t <= 149.291ms (n=1)
Timer(TeamConstThreads<4>[SameNumber | 2]): <t> = 37.8853ms, std = 0ms, 37.8853ms <= t <= 37.8853ms (n=1)
Timer(TeamPool<4>[SameNumber | 2]): <t> = 46.5945ms, std = 0ms, 46.5945ms <= t <= 46.5945ms (n=1)
Timer(TeamNewProcesses<4>[SameNumber | 2]): <t> = 5.25346s, std = 0s, 5.25346s <= t <= 5.25346s (n=1)
Timer(TeamConstProcesses<4>[SameNumber | 2]): <t> = 40.6685ms, std = 0ms, 40.6685ms <= t <= 40.6685ms (n=1)
Timer(TeamNewThreads<7>[SameNumber | 2]): <t> = 147.046ms, std = 0ms, 147.046ms <= t <= 147.046ms (n=1)
Timer(TeamConstThreads<7>[SameNumber | 2]): <t> = 35.7395ms, std = 0ms, 35.7395ms <= t <= 35.7395ms (n=1)
Timer(TeamPool<7>[SameNumber | 2]): <t> = 43.0224ms, std = 0ms, 43.0224ms <= t <= 43.0224ms (n=1)
Timer(TeamNewProcesses<7>[SameNumber | 2]): <t> = 5.16815s, std = 0s, 5.16815s <= t <= 5.16815s (n=1)
Timer(TeamConstProcesses<7>[SameNumber | 2]): <t> = 35.5229ms, std = 0ms, 35.5229ms <= t <= 35.5229ms (n=1)
Timer(TeamNewThreads<10>[SameNumber | 2]): <t> = 139.122ms, std = 0ms, 139.122ms <= t <= 139.122ms (n=1)
Timer(TeamConstThreads<10>[SameNumber | 2]): <t> = 36.9782ms, std = 0ms, 36.9782ms <= t <= 36.9782ms (n=1)
Timer(TeamPool<10>[SameNumber | 2]): <t> = 47.0543ms, std = 0ms, 47.0543ms <= t <= 47.0543ms (n=1)
Timer(TeamNewProcesses<10>[SameNumber | 2]): <t> = 5.20187s, std = 0s, 5.20187s <= t <= 5.20187s (n=1)
Timer(TeamConstProcesses<10>[SameNumber | 2]): <t> = 34.3253ms, std = 0ms, 34.3253ms <= t <= 34.3253ms (n=1)
Timer(TeamAsync<1>[SameNumber | 2]): <t> = 150.241ms, std = 0ms, 150.241ms <= t <= 150.241ms (n=1)
Timer(TeamNewThreadsX<1>[SameNumber | 2]): <t> = 139.975ms, std = 0ms, 139.975ms <= t <= 139.975ms (n=1)
Timer(TeamConstThreadsX<1>[SameNumber | 2]): <t> = 15.0622ms, std = 0ms, 15.0622ms <= t <= 15.0622ms (n=1)
Timer(TeamPoolX<1>[SameNumber | 2]): <t> = 61.2135ms, std = 0ms, 61.2135ms <= t <= 61.2135ms (n=1)
Timer(TeamNewProcessesX<1>[SameNumber | 2]): <t> = 14.1565s, std = 0s, 14.1565s <= t <= 14.1565s (n=1)
Timer(TeamConstProcessesX<1>[SameNumber | 2]): <t> = 84.6608ms, std = 0ms, 84.6608ms <= t <= 84.6608ms (n=1)
Timer(TeamNewThreadsX<2>[SameNumber | 2]): <t> = 115.907ms, std = 0ms, 115.907ms <= t <= 115.907ms (n=1)
Timer(TeamConstThreadsX<2>[SameNumber | 2]): <t> = 12.7457ms, std = 0ms, 12.7457ms <= t <= 12.7457ms (n=1)
Timer(TeamPoolX<2>[SameNumber | 2]): <t> = 34.3578ms, std = 0ms, 34.3578ms <= t <= 34.3578ms (n=1)
Timer(TeamNewProcessesX<2>[SameNumber | 2]): <t> = 6.53887s, std = 0s, 6.53887s <= t <= 6.53887s (n=1)
Timer(TeamConstProcessesX<2>[SameNumber | 2]): <t> = 54.9989ms, std = 0ms, 54.9989ms <= t <= 54.9989ms (n=1)
Timer(TeamNewThreadsX<3>[SameNumber | 2]): <t> = 152.219ms, std = 0ms, 152.219ms <= t <= 152.219ms (n=1)
Timer(TeamConstThreadsX<3>[SameNumber | 2]): <t> = 13.1583ms, std = 0ms, 13.1583ms <= t <= 13.1583ms (n=1)
Timer(TeamPoolX<3>[SameNumber | 2]): <t> = 42.9003ms, std = 0ms, 42.9003ms <= t <= 42.9003ms (n=1)
Timer(TeamNewProcessesX<3>[SameNumber | 2]): <t> = 5.09002s, std = 0s, 5.09002s <= t <= 5.09002s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 2]): <t> = 45.3808ms, std = 0ms, 45.3808ms <= t <= 45.3808ms (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 2]): <t> = 122.136ms, std = 0ms, 122.136ms <= t <= 122.136ms (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 2]): <t> = 15.1753ms, std = 0ms, 15.1753ms <= t <= 15.1753ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 2]): <t> = 39.4605ms, std = 0ms, 39.4605ms <= t <= 39.4605ms (n=1)
