Timer(CalcCollatzSoloTimer): <t> = 27.8293us, std = 14.5497us, 21.004us <= t <= 123.568us (n=2998)
Timer(TeamSolo<1>[SameNumber | 2]): <t> = 93.7898ms, std = 0ms, 93.7898ms <= t <= 93.7898ms (n=1)
Timer(TeamNewThreads<1>[SameNumber | 2]): <t> = 70.7132ms, std = 0ms, 70.7132ms <= t <= 70.7132ms (n=1)
Timer(TeamConstThreads<1>[SameNumber | 2]): <t> = 69.5746ms, std = 0ms, 69.5746ms <= t <= 69.5746ms (n=1)
Timer(TeamPool<1>[SameNumber | 2]): <t> = 89.7056ms, std = 0ms, 89.7056ms <= t <= 89.7056ms (n=1)
Timer(TeamNewProcesses<1>[SameNumber | 2]): <t> = 2.4143s, std = 0s, 2.4143s <= t <= 2.4143s (n=1)
Timer(TeamConstProcesses<1>[SameNumber | 2]): <t> = 68.5939ms, std = 0ms, 68.5939ms <= t <= 68.5939ms (n=1)
Timer(TeamNewThreads<2>[SameNumber | 2]): <t> = 70.8616ms, std = 0ms, 70.8616ms <= t <= 70.8616ms (n=1)
Timer(TeamConstThreads<2>[SameNumber | 2]): <t> = 38.8206ms, std = 0ms, 38.8206ms <= t <= 38.8206ms (n=1)
Timer(TeamPool<2>[SameNumber | 2]): <t> = 47.5994ms, std = 0ms, 47.5994ms <= t <= 47.5994ms (n=1)
Timer(TeamNewProcesses<2>[SameNumber | 2]): <t> = 1.32249s, std = 0s, 1.32249s <= t <= 1.32249s (n=1)
Timer(TeamConstProcesses<2>[SameNumber | 2]): <t> = 37.1927ms, std = 0ms, 37.1927ms <= t <= 37.1927ms (n=1)
Timer(TeamNewThreads<3>[SameNumber | 2]): <t> = 71.1424ms, std = 0ms, 71.1424ms <= t <= 71.1424ms (n=1)
Timer(TeamConstThreads<3>[SameNumber | 2]): <t> = 30.2944ms, std = 0ms, 30.2944ms <= t <= 30.2944ms (n=1)
Timer(TeamPool<3>[SameNumber | 2]): <t> = 37.4231ms, std = 0ms, 37.4231ms <= t <= 37.4231ms (n=1)
Timer(TeamNewProcesses<3>[SameNumber | 2]): <t> = 1.0104s, std = 0s, 1.0104s <= t <= 1.0104s (n=1)
Timer(TeamConstProcesses<3>[SameNumber | 2]): <t> = 26.416ms, std = 0ms, 26.416ms <= t <= 26.416ms (n=1)
Timer(TeamNewThreads<4>[SameNumber | 2]): <t> = 71.9179ms, std = 0ms, 71.9179ms <= t <= 71.9179ms (n=1)
Timer(TeamConstThreads<4>[SameNumber | 2]): <t> = 27.5675ms, std = 0ms, 27.5675ms <= t <= 27.5675ms (n=1)
Timer(TeamPool<4>[SameNumber | 2]): <t> = 34.914ms, std = 0ms, 34.914ms <= t <= 34.914ms (n=1)
Timer(TeamNewProcesses<4>[SameNumber | 2]): <t> = 0.987488s, std = 0s, 0.987488s <= t <= 0.987488s (n=1)
Timer(TeamConstProcesses<4>[SameNumber | 2]): <t> = 30.933ms, std = 0ms, 30.933ms <= t <= 30.933ms (n=1)
Timer(TeamNewThreads<7>[SameNumber | 2]): <t> = 73.4023ms, std = 0ms, 73.4023ms <= t <= 73.4023ms (n=1)
Timer(TeamConstThreads<7>[SameNumber | 2]): <t> = 32.3412ms, std = 0ms, 32.3412ms <= t <= 32.3412ms (n=1)
Timer(TeamPool<7>[SameNumber | 2]): <t> = 26.923ms, std = 0ms, 26.923ms <= t <= 26.923ms (n=1)
Timer(TeamNewProcesses<7>[SameNumber | 2]): <t> = 1.01152s, std = 0s, 1.01152s <= t <= 1.01152s (n=1)
Timer(TeamConstProcesses<7>[SameNumber | 2]): <t> = 21.2853ms, std = 0ms, 21.2853ms <= t <= 21.2853ms (n=1)
Timer(TeamNewThreads<10>[SameNumber | 2]): <t> = 77.7948ms, std = 0ms, 77.7948ms <= t <= 77.7948ms (n=1)
Timer(TeamConstThreads<10>[SameNumber | 2]): <t> = 33.0706ms, std = 0ms, 33.0706ms <= t <= 33.0706ms (n=1)
Timer(TeamPool<10>[SameNumber | 2]): <t> = 31.6665ms, std = 0ms, 31.6665ms <= t <= 31.6665ms (n=1)
Timer(TeamNewProcesses<10>[SameNumber | 2]): <t> = 1.01017s, std = 0s, 1.01017s <= t <= 1.01017s (n=1)
Timer(TeamConstProcesses<10>[SameNumber | 2]): <t> = 23.5052ms, std = 0ms, 23.5052ms <= t <= 23.5052ms (n=1)
Timer(TeamAsync<1>[SameNumber | 2]): <t> = 74.1405ms, std = 0ms, 74.1405ms <= t <= 74.1405ms (n=1)
Timer(TeamNewThreadsX<1>[SameNumber | 2]): <t> = 63.3468ms, std = 0ms, 63.3468ms <= t <= 63.3468ms (n=1)
Timer(TeamConstThreadsX<1>[SameNumber | 2]): <t> = 7.63729ms, std = 0ms, 7.63729ms <= t <= 7.63729ms (n=1)
Timer(TeamPoolX<1>[SameNumber | 2]): <t> = 25.1119ms, std = 0ms, 25.1119ms <= t <= 25.1119ms (n=1)
Timer(TeamNewProcessesX<1>[SameNumber | 2]): <t> = 2.38067s, std = 0s, 2.38067s <= t <= 2.38067s (n=1)
Timer(TeamConstProcessesX<1>[SameNumber | 2]): <t> = 66.6161ms, std = 0ms, 66.6161ms <= t <= 66.6161ms (n=1)
Timer(TeamNewThreadsX<2>[SameNumber | 2]): <t> = 64.474ms, std = 0ms, 64.474ms <= t <= 64.474ms (n=1)
Timer(TeamConstThreadsX<2>[SameNumber | 2]): <t> = 7.61727ms, std = 0ms, 7.61727ms <= t <= 7.61727ms (n=1)
Timer(TeamPoolX<2>[SameNumber | 2]): <t> = 19.2271ms, std = 0ms, 19.2271ms <= t <= 19.2271ms (n=1)
Timer(TeamNewProcessesX<2>[SameNumber | 2]): <t> = 1.28817s, std = 0s, 1.28817s <= t <= 1.28817s (n=1)
Timer(TeamConstProcessesX<2>[SameNumber | 2]): <t> = 36.9803ms, std = 0ms, 36.9803ms <= t <= 36.9803ms (n=1)
Timer(TeamNewThreadsX<3>[SameNumber | 2]): <t> = 62.6124ms, std = 0ms, 62.6124ms <= t <= 62.6124ms (n=1)
Timer(TeamConstThreadsX<3>[SameNumber | 2]): <t> = 9.12051ms, std = 0ms, 9.12051ms <= t <= 9.12051ms (n=1)
Timer(TeamPoolX<3>[SameNumber | 2]): <t> = 19.1299ms, std = 0ms, 19.1299ms <= t <= 19.1299ms (n=1)
Timer(TeamNewProcessesX<3>[SameNumber | 2]): <t> = 1.0366s, std = 0s, 1.0366s <= t <= 1.0366s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 2]): <t> = 26.3447ms, std = 0ms, 26.3447ms <= t <= 26.3447ms (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 2]): <t> = 63.6521ms, std = 0ms, 63.6521ms <= t <= 63.6521ms (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 2]): <t> = 10.6005ms, std = 0ms, 10.6005ms <= t <= 10.6005ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 2]): <t> = 19.3371ms, std = 0ms, 19.3371ms <= t <= 19.3371ms (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 2]): <t> = 1.0149s, std = 0s, 1.0149s <= t <= 1.0149s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 2]): <t> = 30.7016ms, std = 0ms, 30.7016ms <= t <= 30.7016ms (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 2]): <t> = 63.1609ms, std = 0ms, 63.1609ms <= t <= 63.1609ms (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 2]): <t> = 15.6386ms, std = 0ms, 15.6386ms <= t <= 15.6386ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 2]): <t> = 19.7748ms, std = 0ms, 19.7748ms <= t <= 19.7748ms (n=1)
Timer(TeamNewProcessesX<7>[SameNumber | 2]): <t> = 1.01553s, std = 0s, 1.01553s <= t <= 1.01553s (n=1)
